support,itemsets
0.295,"frozenset({'(24386.173, 43758.137]', 'Current_Account_YES'})"
0.24666666666666667,"frozenset({'(24386.173, 43758.137]', 'Married_YES'})"
0.215,"frozenset({'Car_YES', '(24386.173, 43758.137]'})"
0.20666666666666667,"frozenset({'(24386.173, 43758.137]', 'Pep_NO'})"
0.27166666666666667,"frozenset({'(24386.173, 43758.137]', 'Save_Account_YES'})"
0.24666666666666667,"frozenset({'(24386.173, 43758.137]', 'Mortgage_NO'})"
0.205,"frozenset({'(24386.173, 43758.137]', 'FEMALE'})"
0.2633333333333333,"frozenset({'(-0.003, 1.0]', '(24386.173, 43758.137]'})"
0.20666666666666667,"frozenset({'(24386.173, 43758.137]', 'Current_Account_YES', 'Save_Account_YES'})"
0.25666666666666665,"frozenset({'Mortgage_YES', 'Current_Account_YES'})"
0.225,"frozenset({'Mortgage_YES', 'Married_YES'})"
0.25,"frozenset({'(-0.003, 1.0]', 'Mortgage_YES'})"
0.24,"frozenset({'Mortgage_YES', 'Save_Account_YES'})"
0.21333333333333335,"frozenset({'TOWN', 'Current_Account_YES'})"
0.21333333333333335,"frozenset({'TOWN', 'Save_Account_YES'})"
0.5316666666666666,"frozenset({'Current_Account_YES', 'Save_Account_YES'})"
0.25166666666666665,"frozenset({'(50.667, 67.0]', 'Save_Account_YES'})"
0.24,"frozenset({'(50.667, 67.0]', 'Current_Account_YES'})"
0.21333333333333335,"frozenset({'(50.667, 67.0]', 'Mortgage_NO'})"
0.21333333333333335,"frozenset({'(50.667, 67.0]', 'Married_YES'})"
0.20166666666666666,"frozenset({'(50.667, 67.0]', '(-0.003, 1.0]'})"
0.29,"frozenset({'(17.951, 34.333]', '(4956.094, 24386.173]'})"
0.255,"frozenset({'(17.951, 34.333]', 'Current_Account_YES'})"
0.21333333333333335,"frozenset({'(17.951, 34.333]', 'Married_YES'})"
0.20833333333333334,"frozenset({'(17.951, 34.333]', 'Mortgage_NO'})"
0.20666666666666667,"frozenset({'(17.951, 34.333]', 'Pep_NO'})"
0.20833333333333334,"frozenset({'(17.951, 34.333]', '(-0.003, 1.0]'})"
0.23,"frozenset({'(17.951, 34.333]', '(4956.094, 24386.173]', 'Current_Account_YES'})"
